Geo_nios_3ch_0001	पिछले पाठ में हमने पढ़ा कि पृथ्वी का आंतरिक भाग बहुत गर्म है। 
Geo_nios_3ch_0002	भूकम्प और ज्वालामुखी कुछ संकरी पार्टियों के सहारे केन्द्रित हैं। 
Geo_nios_3ch_0003	भूपृष्ठ की शैलों के प्रकार और घनत्व परिवर्तनशील हैं।
Geo_nios_3ch_0004	धरातलीय लक्षणों की विशेषता उनका गतिशील होना है।
Geo_nios_3ch_0005	उनकी यह गतिशीलता दो शक्तियों - आंतरिक एवं बाह्य का परिणाम है।
Geo_nios_3ch_0006	आंतरिक शक्तियाँ वे हैं जो धरातल के नीचे से उत्पन्न होती हैं।
Geo_nios_3ch_0007	इस शक्ति के परिणामस्वरूप एक क्षेत्र या तो ऊपर उठ जाता है या नीचे धस जाता है।
Geo_nios_3ch_0008	ये शक्तियाँ धरातल को अनियमित अथवा ऊबड़-खाबड़ बनाने का प्रयत्न करती हैं।
Geo_nios_3ch_0009	जबकि बाह्य शक्तियाँ धरातल के ऊपर क्रियाशील रहती हैं।
Geo_nios_3ch_0010	ये शक्तियाँ अनाच्छदन की प्रक्रिया द्वारा धरातल की अनियमितता को समाप्त करके उसे समतल बनाने का प्रयत्न करती हैं, अनाच्छादन की प्रक्रिया के विषय में हम अगले पाठों में अध्ययन करेंगे।
Geo_nios_3ch_0011	आइए इस पाठ में हम पृथ्वी की आंतरिक शक्तियों का अध्ययन करें।
Geo_nios_3ch_0012	इस पाठ का अध्ययन करने के पश्चात् आप भूसंतुलन की परिभाषा बता सकेंगे।
Geo_nios_3ch_0013	इस पाठ का अध्ययन करने के पश्चात् आप पृथ्वी के धरातल पर उच्चावच के लक्षणों की विविधता का वर्णन कर सकेंगे।
Geo_nios_3ch_0014	इस पाठ का अध्ययन करने के पश्चात् आप विभिन्न प्रयोगों द्वारा भूसंतुलन सामंजस्य की व्याख्या कर सकेंगे।
Geo_nios_3ch_0015	इस पाठ का अध्ययन करने के पश्चात् आप एयरी और प्रैट के विचारों और उनके विचारों की भिन्नता को समझा सकेंगे।
Geo_nios_3ch_0016	इस पाठ का अध्ययन करने के पश्चात् आप महाद्वीपीय विस्थापन की अवधारणा की व्याख्या कर सकेंगे।
Geo_nios_3ch_0017	इस पाठ का अध्ययन करने के पश्चात् आप महाद्वीपीय विस्थापन के प्रमाणों को गिना सकेंगे।
Geo_nios_3ch_0018	इस पाठ का अध्ययन करने के पश्चात् आप प्लेट विवर्तनिकी की अवधारणा की व्याख्या कर सकेंगे।
Geo_nios_3ch_0019	इस पाठ का अध्ययन करने के पश्चात् आप विश्व मानचित्र पर विभिन्न प्लेटों को पहचान कर उनकी अवस्थिति दिखा सकेंगे।
Geo_nios_3ch_0020	इस पाठ का अध्ययन करने के पश्चात् आप प्लेट संचलन के रचनातंत्र को स्पष्ट कर सकेंगे।
Geo_nios_3ch_0021	इस पाठ का अध्ययन करने के पश्चात् आप विभिन्न प्लेट सीमाओं और उनसे संबंधित लक्षणों को पहचान सकेंगे।
Geo_nios_3ch_0022	इस पाठ का अध्ययन करने के पश्चात् आप पृथ्वी पर जल और स्थल के वितरण की व्याख्या कर सकेंगे।
Geo_nios_3ch_0023	इस पाठ का अध्ययन करने के पश्चात् आप प्लेट सीमाओं और भूकंप एवं ज्वालामुखी के मध्य सम्बन्ध स्थापित कर सकेंगे।
Geo_nios_3ch_0024	आइसोस्टेसी  (भूसंतुलन) शब्द ग्रीक भाषा के आइसोस्टेसियॉज‘ से लिया गया है, जिसका अर्थ है संतुलन की स्थिति।
Geo_nios_3ch_0025	आप जानते हैं और आपने ऐसा देखा भी होगा कि पर्वतों के बहुत से शिखर होते हैं और उनकी ऊँचाई भी अधिक होती है। 
Geo_nios_3ch_0026	इसी तरह से पठार का ऊपरी भाग सपाट होता है और मैदान समतल होते हैं।
Geo_nios_3ch_0027	पठारों की ऊँचाई सामान्य जबकि मैदानों की बहुत कम होती है, इसके विपरीत समुद्र तलों और खाइयों की गहराई बहुत अधिक होती है। 
Geo_nios_3ch_0028	इन उच्चावचों की ऊँचाई में बहुत अन्तर होता है।
Geo_nios_3ch_0029	आप यह भी जानते हैं कि पृथ्वी अपनी धुरी पर परिभ्रमण कर रही है और उसने अपने विविध भूलक्षणों में संतुलन बना रखा है।  
Geo_nios_3ch_0030	अतः हमारी पृथ्वी को समस्थिति की अवस्था में माना जाता है।
Geo_nios_3ch_0031	उदाहरण - मान लीजिए आप अपने दोनों हाथों में भिन्न-भिन्न ऊँचाइयों (जैसे 5 और 15 इंच की) वाले लंबवत टुकड़े सीधे पकड़े हुए एक निश्चित दिशा में जा रहे हैं। 
Geo_nios_3ch_0032	क्या आपको अपने शरीर और उन दो टुकड़ों के साथ सामंजस्य बिठाने में कोई कठिनाई होती है?
Geo_nios_3ch_0033	निश्चित रूप से लम्बे टुकड़ों की अपेक्षा छोटे टुकड़ें के साथ सन्तुलन बनाए रखना आसान होगा।
Geo_nios_3ch_0034	ऐसा गुरूत्व केन्द्र के कारण होता है।
Geo_nios_3ch_0035	लम्बे टुकड़े की तुलना में छोटे टुकड़े के साथ गुरूत्व केन्द्र आपके हाथ के अधिक पास होगा।
Geo_nios_3ch_0036	इस प्रकार से छोटे धरातलीय लक्षण जैसे मैदान ऊँचे पर्वतों की तुलना में अधिक स्थिर होंगे। 
Geo_nios_3ch_0037	भू सन्तुलन: एअरी के विचार
Geo_nios_3ch_0038	भू वैज्ञानिक एअरी के विभिन्न स्तंभों जैस पर्वत पठार और मैदान आदि के घनत्व को एक जैसा माना है।
Geo_nios_3ch_0039	अतः उसने विभिन्न मोटाइयों के साथ एक समान घनत्व के विचार को सुझाया। 
Geo_nios_3ch_0040	हम जानते हैं कि पृथ्वी की ऊपरी परत हल्के पदार्थों से बनी है।
Geo_nios_3ch_0041	इस परत में सिलिका और एल्मुनियम भारी मात्रा में पाए जाते हैं, इसलिए इसे सियाल के नाम से जाना जाता है। 
Geo_nios_3ch_0042	यह नीचे की परत से कम घनत्व वाला है।
Geo_nios_3ch_0043	एअरी ने माना कि सियाल से बनी भूपर्पटी सिमा (सिलिका और मैग्नीशियम, नीचे की अधिक घनत्व वाली परत) की परत के ऊपर तैर रही है।
Geo_nios_3ch_0044	भूपर्पटी की परत का घनत्व एक समान है जबकि इसके विभिन्न स्तम्भों की ऊँचाई अलग-अलग है।
Geo_nios_3ch_0045	इसलिए ये स्तम्भ अपनी ऊँचाई के अनुपात में दुर्बलता मण्डल में धंसे हुए हैं। 
Geo_nios_3ch_0046	इसी कारणवश इनकी जड़ें विकसित हो गई है अथवा नीचे गहराई में सिमा विस्थापित हो गया है।
Geo_nios_3ch_0047	इस अवधारणा को सिद्ध करने के लिए, एअरी ने विभिन्न आकारों के लकड़ी के टुकड़े लिए और उन्हें पानी में डुबो दिया।
Geo_nios_3ch_0048	सभी टुकड़े एक जैसे घनत्व के हैं। 
Geo_nios_3ch_0049	ये अपने आकार के अनुपात में भिन्न-भिन्न गहराई तक पानी में डूबते हैं।
Geo_nios_3ch_0050	इसी प्रकार से पृथ्वी के धरातल पर अधिक ऊँचाई वाले भूलक्षण उसी अनुपात में अधिक गहराई तक धंसे होते हैं जबकि कम ऊँचाई वाले लक्षणों की जड़ें छोटी होती हैं। 
Geo_nios_3ch_0051	यह अधिक गहराई तक धंसी हुई जड़ें ही हैं, जो अधिक ऊँचाई वाले भूभागों को स्थिर रखे हुए हैं।
Geo_nios_3ch_0052	उनका विचार था कि, भू-भाग एक नाव की तरह (मैग्मा वाले दुर्बलता मण्डल) अधः स्तर पर तैर रहे है।
Geo_nios_3ch_0053	इस अवधारणा के अनुसार माउँट एवरेस्ट की जड़ समुद्र स्तर से 70, 784 मीटर नीचे होनी चाहिए।
Geo_nios_3ch_0054	एअरी की इसी बात को लेकर आलोचना हुई है कि, जड़ का इतनी गहराई पर रहना संभव नहीं है।
Geo_nios_3ch_0055	क्योंकि इतनी गहराई पर विद्यमान उच्च तापमान जड़ के पदार्थों को पिघला देगा।
Geo_nios_3ch_0056	प्रैट ने विभिन्न ऊँचाईयों के भूभागों को भिन्न-भिन्न घनत्व का माना है।
Geo_nios_3ch_0057	ऊँचे भूभागों का घनत्व कम है, जबकि कम ऊँचाई वाले भूभागों को अधिक।
Geo_nios_3ch_0058	दूसरे शब्दों में ऊँचाई और घनत्व में विपरीत संबंध है। 
Geo_nios_3ch_0059	अगर कोई ऊँचा स्तम्भ है तो उसका घनत्व कम होगा और अगर कोई स्तम्भ छोटा है तो उसका घनत्व अधिक होगा। 
Geo_nios_3ch_0060	इसको सही मानते हुए उन्होंने स्वीकार किया कि, विभिन्न ऊँचाईयों के सभी स्तंभों की क्षतिपूर्ति अधः स्तर की एक निश्चित गहराई पर हो जाती है।
Geo_nios_3ch_0061	इस प्रकार से एक सीमारेखा खींच दी जाती है, जिसके ऊपर विभिन्न ऊँचाईयों का समान दवाब पड़ता है। 
Geo_nios_3ch_0062	अतः उसने एअरी के आधार या जड़ अवधारणा को खारिज कर दिया और क्षतिपूरक स्तर की अवधारणा को स्वीकार किया।
Geo_nios_3ch_0063	उसने अपनी अवधारणा को सिद्ध करने के लिए समान भार वाली भिन्न-भिन्न घनत्व की कुछ धातु की छड़ें ली और उन्हें पारे में डाल दिया। 
Geo_nios_3ch_0064	इस प्रकार से, इन छड़ों के द्वारा उन्होंने एक रेखा बना दी, जिसे उन्होंने क्षतिपूरक स्तर माना।
Geo_nios_3ch_0065	एअरी और प्रैट के विचारों में अन्तर। 
Geo_nios_3ch_0066	एयरी और प्रैट के विचारों की भिन्नता को एक सारणी के रूप में रखकर अधिक स्पष्ट किया जा सकता है।
Geo_nios_3ch_0067	भूपर्पटी के पदार्थों में एक समान घनत्व। 
Geo_nios_3ch_0068	भूपर्पटी के पदार्थों के घनत्व में भिन्नता।
Geo_nios_3ch_0069	भिन्न-भिन्न गहराई, जिस तक जड़ पहुँचती है।
Geo_nios_3ch_0070	एक समान गहराई, जिस तक भूपर्पटी का पदार्थ पहुँचता है।
Geo_nios_3ch_0071	पर्वतों के नीचे गहरी जड़ और मैदानों के नीचे छोटी जड़।
Geo_nios_3ch_0072	किसी प्रकार की जड़ नहीं परन्तु क्षतिपूरक स्तर का होना।
Geo_nios_3ch_0073	यह बिल्कुल स्पष्ट है कि, पृथ्वी पर पूर्ण भूसंतुलन नहीं है ।
Geo_nios_3ch_0074	पृथ्वी अस्थिर है। 
Geo_nios_3ch_0075	आन्तरिक शक्तियाँ अक्सर भूपर्पटी के संतुलन को भंग कर देते हैं।
Geo_nios_3ch_0076	एक निश्चित पेटी में नियमित भूकम्प और ज्वालामुखी उद्भेदन असंतुलन को दर्शाते हैं, इसलिए लगातार एक प्रकार के सामंजस्य की आवश्यकता बनी रहती है। 
Geo_nios_3ch_0077	आंतरिक शक्तियाँ और उनके विवर्तनिक प्रभाव धरातल पर असंतुलन के कारण हैं परन्तु प्रकृति हमेशा समस्थितिक सामंजस्य स्थापित करने का प्रयत्न करती है। 
Geo_nios_3ch_0078	बाह्य शक्तियाँ पृथ्वी के धरातल पर आए अंतरों को दूर करने का प्रयत्न करती हैं और इस प्रक्रिया में वे ऊँचे भूभागों से पदार्थों को खुरचकर बहुत दूर ले जाकर निचले भागों में निक्षेपित कर देती हैं। 
Geo_nios_3ch_0079	इस प्रक्रिया में निक्षेपण के स्थान पर धंसाव द्वारा नीचे के पदार्थों के प्रवाह के कारण एवं खुरचने के स्थान पर अनाच्छादन के अनुपात में उत्थान द्वारा भूमंडलीय संतुलन बना रहता है।
Geo_nios_3ch_0080	अल्फ्रेड वेगनर के अनुसार 28 करोड़ वर्ष पूर्व पृथ्वी का समस्त भूभाग एक साथ जुड़ा हुआ था। 
Geo_nios_3ch_0081	इस सुविशाल महाद्वीप को उन्होंने पैंजिया नाम दिया।
Geo_nios_3ch_0082	इस अकेले महाद्वीप के चारों ओर एक विराट महासागर था, जिसका नाम पैंथालासा था।
Geo_nios_3ch_0083	28 से 15 करोड़ वर्ष पूर्व यह अक्षांशीय रूप से उत्तरी तथा दक्षिणी भागों में टूट गया जिन्हें क्रमशः लॉरेसिया (अंगारालैंड) तथा गोंडवानालैंड के रूप में जाना गया। 
Geo_nios_3ch_0084	दोनों एक दूसरे से अलग हटते गए तथा इनके बीच पैंथालासा द्वारा पानी भरने से एक उथला समुद्र पैदा हो गया, जिसे टैथीज सागर के नाम से जाना गया। 
Geo_nios_3ch_0085	बाद में लॉरेसिया और गोंडवानालैंड एक दूसरे से अलग हटते गए और अंतः इन्होंने एक दूसरे से दूर हटकर पृथ्वी पर भूभाग और जल के वर्तमान रूप को धारण कर लिया। 
